project_name	year_award	award
3 ORCHARD BY-THE-PARK	FY13	Gold Plus
WINDSOR PARK	FY07	Certified
ASIA SQUARE TOWER 2	FY08	Platinum
THE WESTIN SINGAPORE	FY08	Platinum
BEDOK INTEGRATED TRANSPORT HUB	FY11	Platinum
BUANGKOK VALE	FY11	Gold Plus
CAPITOL PIAZZA	FY12	Gold Plus
COMPASSVALE ANCILLA	FY13	Green Mark Gold
GILSTEAD 68	FY11	Gold
GREAT WORLD SERVICED APARTMENTS	FY11	Platinum
MONT TIMAH	FY07	Green Mark Gold
HDB-JURONG EAST	FY15	Green Mark Platinum
MY FIRST SKOOL	FY15	Green Mark Platinum
HILLCREST VILLA	FY07	Green Mark Certified
KALLANG TRIVISTA	FY13	Green Mark Gold Plus
KAMPUNG ADMIRALTY	FY15	Green Mark Gold Plus
KATONG SQUARE	FY14	Green Mark Platinum
LUXUS HILLS	FY10	Certified
LUXUS HILLS	FY10	Green Mark Certified
MCNAIR TOWERS	FY13	Gold
NASSIM WOODS	FY15	Green Mark Gold
PATERSON COLLECTION	FY11	Gold Plus
PUNGGOL OPAL	FY15	Green Mark Gold Plus
TUAS BIOMEDICAL PARK I	FY11	Gold
16 LAKESHORE VIEW	FY08	Gold
A-STAR INTERNATIONAL HOSTEL SIGLAP CENTRE	FY15	Green Mark Gold Plus
SIGLAP CENTRE	FY15	Green Mark Gold Plus
SKYLINE I @ BUKIT BATOK	FY13	Green Mark Gold Plus
SKYLINE II @ BUKIT BATOK	FY13	Green Mark Gold Plus
SOUTH BEACH TOWER	FY11	Platinum
THE SOUTH BEACH	FY11	Platinum
SOUTH BEACH RESIDENCES	FY11	Platinum
SAINT GEORGE'S TOWERS	FY15	Green Mark Gold Plus
TANJONG PAGAR CENTRE	FY12	Platinum
THE VERANDAH @ MATILDA	FY15	Green Mark Gold Plus
TREETOPS EXECUTIVE RESIDENCES	FY09	Gold
TRIVELIS	FY15	Green Mark Gold
CITIBANK UE SQUARE COLD STORAGE SUPERMARKET	FY07	Gold
M SOCIAL SINGAPORE	FY11	Gold Plus
WATERWAY RIDGES	FY13	Green Mark Gold Plus
WATERWAY CASCADIA	FY14	Gold Plus
WATERWAY SUNBEAM	FY13	Gold Plus
WATERWAY SUNDEW	FY13	Gold Plus
WATERWAY BANKS	FY12	Gold Plus
